sr_no,song_name,album_name,artist_name,isrc,upc,language,label,Main_Label,Sub_Label,Label_Identification,ad_supported_streams,subscription_streams,jio_trial_streams,total,income,admin_Exp,royality,id,original_l1_name,original_l2_name,company
"419877","Sajke Baithi Tara Maa","Tara Maa Ki Mahima Aapar","Jojo  Mrinal Mukherjee  Prem Kumar","INT441651503","8.90387E+12","Hindi","ThinkTrek","Thinktrek Software LLP","ThinkTrek","PDL","7","0","0","7","0.52500000","0.07875000","0.44625000","0","Thinktrek Software LLP","ThinkTrek",""
"428428","Monchuri","Monchuri","Raja Narayan Deb","INT441636702","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","ThinkTrek","PDL","3","0","0","3","0.22500000","0.03375000","0.19125000","0","Thinktrek Software LLP","ThinkTrek",""
"448","Amar Mon Mone Mane Na","Path Cheyey","Kakali Ghosh","INT441603904","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"574","Hridoy Amar Nachere","Gaaner Ratanhaar","Shiuli Chattopadhyay","INT441663407","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"656","Bipul Tarongo Re","Ujaan Baaye","Samichi Nath","INT441653702","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"758","Bhalobasha","Antare Sudhu Tumi","Aritra  Shubhlaxmi  Soumitra Kundu","INT441660801","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","17","0","0","17","1.27500000","0.19125000","1.08375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"1237","Bondhu Eiyo Eiyo Amar Bari","Dehogari","Dehat Bangla Folk Band","INT441669902","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","3","0","0","3","0.22500000","0.03375000","0.19125000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"1245","Megh Boleche Jabo Jabo","Ei Shomoye Robi Gaan","Tilak Sanyal","INT441624904","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"1634","Bashi Daak Dilo Re","Bashi Daak Dilo Re","Mithu Das Baul  Sukumar Das Baul","INT441600702","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","358","3","0","361","27.07500000","4.06125000","23.01375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"1685","Ulte Debo Palte Debo","Bikram Singha","Shree Pritam","INT441618406","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","105","1","0","106","7.95000000","1.19250000","6.75750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"1713","Achena Haate","Achena Haate","Pratik","INT441612601","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","0","3","0","3","0.22500000","0.03375000","0.19125000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"2434","Aamar Pussir Biye","Aamar Pussir Biye","Tamali","INT441611401","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"2538","Baul","Chhotoder Robi","Rini","INT441601401","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","2","0","0","2","0.15000000","0.02250000","0.12750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"3233","Momo Dukhero Sadhano","Tumi Robe Nirobe 1","Debabrata Biswas","INT441653613","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"3307","Chatak Pakhir Emni","Kolkata Calling","Arnob Shayan Chowdhury","INT441633402","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","2","1","0","3","0.22500000","0.03375000","0.19125000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"3322","Bristi Male","Bristi","Sumon","INT441619302","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","3","0","0","3","0.22500000","0.03375000","0.19125000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"3371","Amra Shabai Shobar","Joydeber Melate","Sonali Das","INT441600602","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"3440","Sahaj Manush","Amra","Shilajit","INT441614308","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","5","0","0","5","0.37500000","0.05625000","0.31875000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"3635","Tomay Bhalobasi","Tomaye Bhalobashi","Anand-Milind","INT441652705","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","18","2","0","20","1.50000000","0.22500000","1.27500000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"3731","Adhek Ghume Nayan Chume","Adhek Ghume Nayan Chume","Arka Bhattacharya  Medha Bhattacharya","INT442300036","1.97188E+11","Bengali","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"3860","Amar Matir Ghore","Premer Ektara","Sahaj Ma","INT441663501","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","31","1","0","32","2.40000000","0.36000000","2.04000000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"4580","Sakhi Bhabona Kahare","Bhalobhasa Kare Koy","Olivia","INT441665503","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","5","0","0","5","0.37500000","0.05625000","0.31875000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"4685","Saudi Night","Superhit Song Collection Arabic  Vol. 17","Inam Ali","INT442300226","1.97188E+11","Arabic","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","2","0","0","2","0.15000000","0.02250000","0.12750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"4717","Sono Sono Vivekananda Bani","Kali Name Andhar Ghoche","Alok Mukherjee","INT441672707","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"4761","Sari Gan","Megher Jahaj","Partha Bhowmick","INT441663910","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"4794","Jot Pakano","Hoi Choi","Abhijit Bose","INT441629302","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","4","0","0","4","0.30000000","0.04500000","0.25500000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"4853","O Jadugar","D Major","Timir Biswas","INT441662804","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","6","0","0","6","0.45000000","0.06750000","0.38250000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"5018","Nodia Kinare","Premer Neshay","Kavita Krishnamurty","INT441642608","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","2","0","0","2","0.15000000","0.02250000","0.12750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"5195","Ki Je Bibhrat","Dramadol","Chandrika Bhattacharya  Piku  Sujoy Bhowmik","INT441623801","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","10","0","0","10","0.75000000","0.11250000","0.63750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"5380","Ketu Mantra for removing obstacles","Dev Devi Mantram","Bhaskara","INT441803384","1.93483E+11","Sanskrit","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","9","0","0","9","0.67500000","0.10125000","0.57375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"5386","Tomar Kache","Asish Barisan","Nitu Chatterjee","INT441667804","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","47","0","0","47","3.52500000","0.52875000","2.99625000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"5409","Sei Valo Sei Valo","Arghya","Paramita Danda","INT441663808","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","902","27","0","929","69.67500000","10.45125000","59.22375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"5445","Rituparno Special","Suranjit Parody","Suranjit","INT441649814","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","42","0","0","42","3.15000000","0.47250000","2.67750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"6033","Manob Jiban","Manob Jiban","Deep Bhattacharyya  Sanjukta","INT442300435","1.97189E+11","Bengali","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","2","0","0","2","0.15000000","0.02250000","0.12750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"6196","Sono Baba Bholanather Mohima Apar","Chalo Tarokeshwer","Nandini Chakraborty","INT441672305","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","3","0","0","3","0.22500000","0.03375000","0.19125000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"6240","Jani Jani Holo Jabar Aayojon","Likhechhe Se","Puspita Guha  Rabindranath Tagore","INT441663105","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","2","0","0","2","0.15000000","0.02250000","0.12750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"6511","Aaj Ke Ami Apurbo Ek Ayena Dekhechi","Rong Dio Na","Ekta","INT441645601","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","4","0","0","4","0.30000000","0.04500000","0.25500000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"6622","Dhonilo Ahobano","Hridoyey Momo","Rik Basu","INT441609403","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"6984","Hostir Konnya","Moruchmoti","Panchoboti Group","INT441666102","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"7183","Kamdev Gayatri Mantra for Love","Dev Devi Mantram","Bhaskara","INT441803382","1.93483E+11","Sanskrit","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","17","0","0","17","1.27500000","0.19125000","1.08375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"7504","Manush Roope Yuge Yuge","Deoghare Jabi Jodi Mon","Sadhan Das Baul","INT441605209","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"7506","Tomra Naam Koro Mone","Joyguru","Satyen Das Baul","INT441600410","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"7733","Onurag Moile Jabe Dhora","Baul Fakir Utsav","Tuntun Fakir","INT441616718","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","3","0","0","3","0.22500000","0.03375000","0.19125000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"7853","Aaj Jane Ki Zid Na Karo","Aaj Jane Ki Zid Na Karo","Dr. Mrs. Kasturi Roychowdhury","INT442100418","1.96626E+11","Hindi","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","6","0","0","6","0.45000000","0.06750000","0.38250000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"7872","E Kon Ronge","Laadla Number 1","Ankur Paul","INT441633603","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","3","0","0","3","0.22500000","0.03375000","0.19125000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"8458","Akash Amay Bhorlo Aloy","Robir Rongey","Barnali Biswas Shanta","INT441608303","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","6","6","0","12","0.90000000","0.13500000","0.76500000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"8480","Gogoner Thale","Swamijir Gawa Gan","Suprotik Das","INT441650511","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","5","0","0","5","0.37500000","0.05625000","0.31875000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"8551","Cholo Na Dure Jai","Amar Prithibi","Sanchayita","INT441613901","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","3","0","0","3","0.22500000","0.03375000","0.19125000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"8628","Amaro Porano Jaha Chay","Amaro Porano Jaha Chay","Avishek Chakraborty  Sayan Ghosh","INT442200502","1.96926E+11","Bengali","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","4","0","0","4","0.30000000","0.04500000","0.25500000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"8793","Nitya Tomar Je Phul","Nitya Tomar Je Phul","Asitava Bhattacharya","INT442300049","1.97188E+11","Bengali","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","3","0","0","3","0.22500000","0.03375000","0.19125000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"9155","Chikni Shabab Nashili Sharab Sunidhi Bappi","Swabhoomi","Gaurab Chatterjee","INT441650402","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","5","0","0","5","0.37500000","0.05625000","0.31875000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"9370","E Kalo Golpo","Pendulum","Mainak Nag Chowdhury","INT441641203","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","3","0","0","3","0.22500000","0.03375000","0.19125000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"9416","Phire Phire Dak Dekhi Re","Paran Khuley Dak","Aitijhya Roy","INT441603804","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","3","0","0","3","0.22500000","0.03375000","0.19125000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"9593","Loke Amay Pagol Bole","Tara Maa Er Pagol Chele","Rishiputro","INT441673106","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","28","0","0","28","2.10000000","0.31500000","1.78500000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"9686","Rakto Daan","Rakto Daan","Debarati Dasgupta Sarkar","INT442000956","1.95497E+11","Bengali","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"9762","Amar Bela Je Jay","Aamar Bela Je Jaay","Rudra Saikat","INT441611202","8.90387E+12","Instrumental","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"9776","Biday O Ebar Tor Mora Gange","Notun Korey","Dr Pubali Debnath  Prabir Brahmachari","INT442300547","1.97189E+11","Bengali","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"10068","Proshno","Jibon Debota","Pranati Tagore","INT441609509","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"10160","Raat Er Mayur Charalo Je Tar","Mone Rekho Mor Gaan","Feroza Begum","INT441636908","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"10188","Bisti Pore","Chhotoder Mahul","Shanoli Majumder","INT442200239","1.96925E+11","Bengali","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"10420","Hothat Akash","Antena Sarbonaash","Shilajit Majumdar","INT441614805","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","33","4","0","37","2.77500000","0.41625000","2.35875000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"11173","Katobar Bhebechinu","Nutan Pran","Sanneti Datta","INT441639607","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","44","0","0","44","3.30000000","0.49500000","2.80500000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"11591","Bhairabi","Classiyana","Soumya Bose","INT441621603","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","1","0","2","0.15000000","0.02250000","0.12750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"11753","Amala Dhwabala","Troyee","Nayana Chakraborty  Rabindranath Tagore","INT441659203","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"11995","Ami Toke Chara","Death Of Love","Mahua Bose","INT441777801","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","26","0","0","26","1.95000000","0.29250000","1.65750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"12018","Shuno Shuno Pranoshokhi","Dharbari Jhumur","Amulya Kumar","INT441623103","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","3","0","0","3","0.22500000","0.03375000","0.19125000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"12173","Kanchanjangha Re","College Er Sei Sob Din","Tanushree Dutta","INT441622006","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","2","0","0","2","0.15000000","0.02250000","0.12750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"12460","Ore Grihobashi","Laglo Je Dol","Debadrito Chattopadhyay  Sispiya Banerjee","INT441609815","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","19","0","0","19","1.42500000","0.21375000","1.21125000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"12745","Bhalobasa Sahaj Noy","Guru Sisya","Sukumar Das Baul","INT441606401","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"12802","Eso Shyamolo Sundoro","Tumi Robe Nirobe 1","Debabrata Biswas","INT441653610","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","16","2","0","18","1.35000000","0.20250000","1.14750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"12949","Kichhu Bolbo Na","Viber Tunes Vol 1","Arko  Clara","INT441654214","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","16","2","0","18","1.35000000","0.20250000","1.14750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"13475","Kanch Sudhu Kacnch E Thake","Soronmala Ganrthi","Prabhati Mukherjee","INT441648606","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"13544","Momo Chitte","Tumi Robe Nirobe","Devarati","INT441653506","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","4","0","0","4","0.30000000","0.04500000","0.25500000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"13567","Lakshmi Debir Stab","Kojagori","Sanjukta Sengupta","INT442100366","1.96293E+11","Bengali","Thinktrek Software LLP","Thinktrek Software LLP","Thinktrek Software LLP","PDL","2","0","0","2","0.15000000","0.02250000","0.12750000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"13638","Katobaro","Surer Bhubone","Bidisha Sen","INT441649907","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","0","1","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"13899","Sodanondomoyi Kali","Koruna Sindhu","Manna Dey","INT441633507","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","5","0","0","5","0.37500000","0.05625000","0.31875000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"13960","Ke Banailo Rangmahal","Dehogari","Dehat Bangla Folk Band","INT441669905","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","4","0","0","4","0.30000000","0.04500000","0.25500000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"14077","Eki Ghare Amra Sobai","Bhebe Chhilam Aapan Jare","Sanajit Mondal","INT441617727","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","9","0","0","9","0.67500000","0.10125000","0.57375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"14098","Tabla Baje","Abol Tabol","Samantak","INT441612207","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"14198","Shanti Shanti Shanti Gram","Swabhoomi","Bappi Lahiri","INT441650409","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","3","0","0","3","0.22500000","0.03375000","0.19125000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"14317","Sawano","Surer Bhubone","Bidisha Sen","INT441649909","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","1","0","0","1","0.07500000","0.01125000","0.06375000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"14484","Menoka Mathay Dilo Ghomta","Baul Fakir Utsav","Biswanath Das Baul","INT441616716","8.90387E+12","Bengali","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","5","0","0","5","0.37500000","0.05625000","0.31875000","216","Thinktrek Software LLP","Thinktrek Software LLP",""
