song_id,isrc,song_name,album_name,language,label,Main_Label,Sub_Label,Label_Identification,artist,album_id,total,file_name,income,admin_Exp,royality,id,original_l1_name,original_l2_name,company
"srch_pplkolkata_IN-T44-19-00181","int441900181","kato kotha mone pore jay","Amar mita  vol. 02","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Bratati Bandyopadhyay","srch_pplkolkata_193483832005","3","Kolkata","0.16854007","0.02528101","0.14325906","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-19-00186","int441900186","udasi haway tomar poth je dekhechi","Amar mita  vol. 01","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","asitava bhattacharya","srch_pplkolkata_193483831947","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000745","int442000745","Chaand Sujur Aar Lokkho Taarai","Bengali Hamd-Naat of Kazi Nazrul Islam  Vol. 02.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","selima mansur","srch_pplkolkata_195081836577","2","Kolkata","0.11236005","0.01685401","0.09550604","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000746","int442000746","Ekhono Somoy Aachey","Bengali Hamd-Naat of Kazi Nazrul Islam  Vol. 02.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","asgar alim","srch_pplkolkata_195081836577","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000167","int442000167","Sei Meye","Uttaran  Vol. 08.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Jayati Chakraborty","srch_pplkolkata_194491992682","24","Kolkata","1.34832060","0.20224809","1.14607251","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000750","int442000750","Kaabar Pothey Chol","Bengali Hamd-Naat of Kazi Nazrul Islam  Vol. 02.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","binu ahmed","srch_pplkolkata_195081836577","2","Kolkata","0.11236005","0.01685401","0.09550604","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-16-36701","int441636701","Bolo Bolo Bolo Shobe","Monchuri","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Saswata Chatterjee Kharaj Mukherjee Biswanath Basu Sumit Samaddar","srch_pplkolkata_TTSL-CD-362","2","Kolkata","0.11236005","0.01685401","0.09550604","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-19-00190","int441900190","vulo na  vulo na kotha","Amar mita  vol. 02","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Bratati Bandyopadhyay","srch_pplkolkata_193483832005","2","Kolkata","0.11236005","0.01685401","0.09550604","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000173","int442000173","Bhedi Anoshon Mrityu Tushar Tufan","Uttaran  Vol. 08.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Somobeto","srch_pplkolkata_194491992682","3","Kolkata","0.16854007","0.02528101","0.14325906","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-19-00178","int441900178","tomaro sanidhe bosia","Amar mita  vol. 02","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Bratati Bandyopadhyay","srch_pplkolkata_193483832005","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-17-91204","int441791204","Akash Bhora Surya Tara (Rabindra Sangeet)","Meghnadbodh Rohoshyo","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Sabysachi Chakrabarty Sayoni Ghosh Kalyan Roy gargee roychowdhury Vikram Chatterjee","srch_pplkolkata_TTSL-CD-798","5","Kolkata","0.28090012","0.04213502","0.23876511","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-19-00219","int441900219","aami khunjchhilam tomay aamar gane gane","Amar mita  vol. 02","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Bratati Bandyopadhyay","srch_pplkolkata_193483832005","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-16-36702","int441636702","Monchuri","Monchuri","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Ujjaini Mukherjee Rupankar Bagchi Jinia Roy Saptak Bhattacharjee","srch_pplkolkata_TTSL-CD-362","7","Kolkata","0.39326017","0.05898903","0.33427115","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-16-51502","int441651502","Natraj Nache Re","Tara Maa Ki Mahima Aapar","hi","ThinkTrek","Thinktrek Software LLP","PDL","PDL","JoJo Prem Kumar Mrinal Mukherjee","srch_pplkolkata_TTSL-CD-510","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-19-00204","int441900204","akash-batas tomar aamar","Amar mita  vol. 02","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Bratati Bandyopadhyay","srch_pplkolkata_193483832005","3","Kolkata","0.16854007","0.02528101","0.14325906","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-18-00659","int441800659","gayatri mantra ver_2","Gayatri mantra  vol. 01","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Manna Dey","srch_pplkolkata_192562387573","7","Kolkata","0.39326017","0.05898903","0.33427115","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-19-00213","int441900213","sara jibon dhore toke deke gelum","Amar mita  vol. 02","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Bratati Bandyopadhyay","srch_pplkolkata_193483832005","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-18-00774","int441800774","amar ghor khanay shahnaz belly","Khomo oporadh","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Shahnaz Belly","srch_pplkolkata_193483000039","5","Kolkata","0.28090012","0.04213502","0.23876511","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-16-23805","int441623805","Parasmoni","Dramadol","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Chandrika Bhattacharya Arup Sarkar srabani banerjee sujoy bhowmik","srch_pplkolkata_TTSL-CD-233","6","Kolkata","0.33708015","0.05056202","0.28651813","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-16-59008","int441659008","sufi - kashmir  pt. 2","Sufi sutra 06","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","kashmir music society","srch_pplkolkata_190374677004","4","Kolkata","0.22472010","0.03370802","0.19101208","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000751","int442000751","Maa Ameenar Koley Eley","Bengali Hamd-Naat of Kazi Nazrul Islam  Vol. 02.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","binu ahmed","srch_pplkolkata_195081836577","2","Kolkata","0.11236005","0.01685401","0.09550604","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000486","int442000486","Jedin Roj Haashore Kortey Bichaar","Bengali Hamd-Naat of Kazi Nazrul Islam  Vol. 01.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","yakub ali khan","srch_pplkolkata_195081535784","3","Kolkata","0.16854007","0.02528101","0.14325906","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000489","int442000489","Muhammad Mustafa Salle Aala","Bengali Hamd-Naat of Kazi Nazrul Islam  Vol. 01.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Fatematuz Zohra","srch_pplkolkata_195081535784","39","Kolkata","2.19102097","0.32865315","1.86236782","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-18-02647","int441802647","mon e shomoy","Aranyaer gaan","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Aranya shuptica","srch_pplkolkata_193483178011","77","Kolkata","4.32586191","0.64887929","3.67698262","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-19-00285","int441900285","keho jeno achhe pashe","Amar mita  vol. 03","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","soumitra chattopadhyay","srch_pplkolkata_193483832104","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-16-29102","int441629102","Lovely Lovely Night","Hiya Deba Kaak","as","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Shaan Sanchita Swarna","srch_pplkolkata_TTSL-CD-286","3","Kolkata","0.16854007","0.02528101","0.14325906","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000748","int442000748","Khodar Premer Sharaab Peeya","Bengali Hamd-Naat of Kazi Nazrul Islam  Vol. 02.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","shamima taanu mila","srch_pplkolkata_195081836577","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000749","int442000749","Chaand Suruj Aar Lokkho Tarai","Bengali Hamd-Naat of Kazi Nazrul Islam  Vol. 02.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Anjuman Ara Shimul","srch_pplkolkata_195081836577","6","Kolkata","0.33708015","0.05056202","0.28651813","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000743","int442000743","Traan Koro Mawla","Bengali Hamd-Naat of Kazi Nazrul Islam  Vol. 02.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","salahuddin ahmed","srch_pplkolkata_195081836577","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-19-00207","int441900207","tare jatotuku peyechhinu kachhe","Amar mita  vol. 02","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Bratati Bandyopadhyay","srch_pplkolkata_193483832005","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-16-59009","int441659009","sufi - kashmir  pt. 3","Sufi sutra 06","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","kashmir music society","srch_pplkolkata_190374677004","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-19-00173","int441900173","aami manabi-ke dekhechhi debi","Amar mita  vol. 03","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","soumitra chattopadhyay","srch_pplkolkata_193483832104","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000171","int442000171","Gramer Naujawan","Uttaran  Vol. 08.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Somobeto","srch_pplkolkata_194491992682","6","Kolkata","0.33708015","0.05056202","0.28651813","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-19-00193","int441900193","tumi monero madhuri mishaye","Amar mita  vol. 02","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Bratati Bandyopadhyay","srch_pplkolkata_193483832005","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-19-00208","int441900208","anno chinta chamotkar","Amar mita  vol. 03","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","soumitra chattopadhyay","srch_pplkolkata_193483832104","2","Kolkata","0.11236005","0.01685401","0.09550604","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-17-04210","int441704210","valobeshe  sokhi  nibhrite sakhi","Valobeshe","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Chandrabali Rudra Dutta","srch_pplkolkata_191773834685","34","Kolkata","1.91012084","0.28651813","1.62360272","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-17-04142","int441704142","holo na lo holo na","Gitabitan  vol. 57","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Amar Sen","srch_pplkolkata_191773861391","5","Kolkata","0.28090012","0.04213502","0.23876511","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-18-01188","int441801188","chirosakha  chero na more chero na","Modhuraatey","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","priyadarshi banerjee","srch_pplkolkata_192562647752","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-16-59010","int441659010","sufi - kashmir  pt. 4","Sufi sutra 06","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","kashmir music society","srch_pplkolkata_190374677004","7","Kolkata","0.39326017","0.05898903","0.33427115","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000163","int442000163","Bhango Bhango Bhango Bhango","Uttaran  Vol. 08.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Somobeto","srch_pplkolkata_194491992682","2","Kolkata","0.11236005","0.01685401","0.09550604","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-19-00196","int441900196","ki sukhe rohi je ki sukhe kohi je","Amar mita  vol. 02","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Bratati Bandyopadhyay","srch_pplkolkata_193483832005","5","Kolkata","0.28090012","0.04213502","0.23876511","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-19-00184","int441900184","tumi je gaan shonale amar","Amar mita  vol. 02","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Bratati Bandyopadhyay","srch_pplkolkata_193483832005","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-19-00198","int441900198","kheyal khushi makhbo rong","Amar mita  vol. 01","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","asitava bhattacharya","srch_pplkolkata_193483831947","2","Kolkata","0.11236005","0.01685401","0.09550604","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-16-51504","int441651504","Tara Maiya Tere Darbar","Tara Maa Ki Mahima Aapar","hi","ThinkTrek","Thinktrek Software LLP","PDL","PDL","JoJo Prem Kumar Mrinal Mukherjee","srch_pplkolkata_TTSL-CD-510","9","Kolkata","0.50562022","0.07584303","0.42977719","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-19-00212","int441900212","sara jibon dhore toke deke gelum","Amar mita  vol. 01","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","asitava bhattacharya","srch_pplkolkata_193483831947","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-18-00778","int441800778","shomoy gele shadhon hobe na shahnaz belly","Khomo oporadh","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Shahnaz Belly","srch_pplkolkata_193483000039","2","Kolkata","0.11236005","0.01685401","0.09550604","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000747","int442000747","Allaho Allaho","Bengali Hamd-Naat of Kazi Nazrul Islam  Vol. 02.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","sharmin sultana upoma","srch_pplkolkata_195081836577","34","Kolkata","1.91012084","0.28651813","1.62360272","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-16-51506","int441651506","Tara Mayre Aroti 01","Tara Maa Ki Mahima Aapar","hi","ThinkTrek","Thinktrek Software LLP","PDL","PDL","JoJo Prem Kumar Mrinal Mukherjee","srch_pplkolkata_TTSL-CD-510","2","Kolkata","0.11236005","0.01685401","0.09550604","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000164","int442000164","Bayonet Hok Joto Dharalo","Uttaran  Vol. 08.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Somobeto","srch_pplkolkata_194491992682","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000134","int442000134","Anek Poth  Anek Mot","Uttaran Vol 06","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Somobeto","srch_pplkolkata_194491986902","4","Kolkata","0.22472010","0.03370802","0.19101208","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-16-59011","int441659011","sufi - kashmir  pt. 5","Sufi sutra 06","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","kashmir music society","srch_pplkolkata_190374677004","2","Kolkata","0.11236005","0.01685401","0.09550604","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-16-33201","int441633201","baro mash bindaas","Kidnapper","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Babul Supriyo niladri Shalini Krishnendu Ayon","srch_pplkolkata_889845559627","4","Kolkata","0.22472010","0.03370802","0.19101208","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000487","int442000487","Khodar Premer Shaarab Piye","Bengali Hamd-Naat of Kazi Nazrul Islam  Vol. 01.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","khalid hossain","srch_pplkolkata_195081535784","3","Kolkata","0.16854007","0.02528101","0.14325906","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000172","int442000172","Bidesh Bolo Bibhui Bolo","Uttaran  Vol. 08.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Somobeto","srch_pplkolkata_194491992682","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-19-00205","int441900205","jiboner sur vase","Amar mita  vol. 03","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","soumitra chattopadhyay","srch_pplkolkata_193483832104","4","Kolkata","0.22472010","0.03370802","0.19101208","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-16-51503","int441651503","Sajke Baithi Tara Maa","Tara Maa Ki Mahima Aapar","hi","ThinkTrek","Thinktrek Software LLP","PDL","PDL","JoJo Prem Kumar Mrinal Mukherjee","srch_pplkolkata_TTSL-CD-510","6","Kolkata","0.33708015","0.05056202","0.28651813","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-16-59007","int441659007","sufi - kashmir  pt. 1","Sufi sutra 06","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","kashmir music society","srch_pplkolkata_190374677004","2","Kolkata","0.11236005","0.01685401","0.09550604","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-19-00210","int441900210","aami aamaro banshiti bajayecholechhi","Amar mita  vol. 02","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Bratati Bandyopadhyay","srch_pplkolkata_193483832005","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_INT442000491","int442000491","Raashul Naamer Phul Enecchi","Bengali Hamd-Naat of Kazi Nazrul Islam  Vol. 01.","ba","ThinkTrek","Thinktrek Software LLP","PDL","PDL","Tanjina Karim Sharalipi","srch_pplkolkata_195081535784","36","Kolkata","2.02248089","0.30337213","1.71910876","216","Thinktrek Software LLP","PDL",""
"srch_pplkolkata_IN-T44-16-00909","int441600909","Ke Tore Shajalo Tara Maa","Joy Joy Tara Joy Bam","ba","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","pallov ghosh","srch_pplkolkata_TTSL-CD-009","1","Kolkata","0.05618003","0.00842700","0.04775302","216","Thinktrek Software LLP","Thinktrek Software LLP",""
"srch_pplkolkata_IN-T44-16-09208","int441609208","O Je Mane Na Mana","Ekti Namaskare","ba","ThinkTrek","Thinktrek Software LLP","Thinktrek Software LLP","PDL","Iman Chakraborty","srch_pplkolkata_TTSL-CD-087","147","Kolkata","8.25846365","1.23876955","7.01969410","216","Thinktrek Software LLP","Thinktrek Software LLP",""
